,Screen Name,User Name,Tweet Created At,User Location,Tweet Coordinates,Retweet Count,Retweeted,Phone Type,Favorite Count,Favorited,Replied,Tweet
1706,hitmewithurbass,Niky,2019-11-03 14:20:53,PH (Puso ni youngHyun),None,84,False,Twitter for Android,0,False,None,op asked if they become a teacher what kind of teacher they wanna be middle school pe teacher itll be fun university professor communication department wants to teach public speaking kindegarten he likes children 
1707,irfaslam,irfan,2019-11-03 14:20:53,"Johor Bahru, Johor",None,1,False,Twitter for Android,0,False,None,no offence but getting straight a s for spm enrolling into my dream university and never getting any lower than a 3 8 gpa would really suck 
1708,Radiouniport1,Radio Uniport 88.5 Unique FM,2019-11-03 14:20:53,"Port Harcourt, Nigeria",None,0,False,Twitter for Android,12,False,1190994626871746560, follow us and get regular news and updates from within and around the university of port harcourt 
1709,AvanieSaintLoup,R,2019-11-03 14:20:52,,None,30263,False,Twitter for iPhone,0,False,None,a cornell university study found that men overestimate their abilities and performance while women underestimate both a hewlett packard report also suggests men apply for jobs when they meet 60 of the qualifications but women apply if they meet 100 apply for the jobs ladies 
1710,haileepalumbo,𝚑𝚊𝚒𝚕𝚎𝚎,2019-11-03 14:20:52,,None,30263,False,Twitter for iPhone,0,False,None,a cornell university study found that men overestimate their abilities and performance while women underestimate both a hewlett packard report also suggests men apply for jobs when they meet 60 of the qualifications but women apply if they meet 100 apply for the jobs ladies 
1711,flexdada,T R N,2019-11-03 14:20:51,Above & Beyond,None,1795,False,Twitter for Android,0,False,None,federal university of agriculture abeokuta expelled student activist for writing an open letter to the vc on facebook criticising the indiscriminate arrest of students by security agencies and poor transportation system on campus tyranny has been fully extended to our campus 
1712,anon_gg01,you look like you've lost 10 kgs💘💘💘,2019-11-03 14:20:50,,None,30263,False,Twitter for Android,0,False,None,a cornell university study found that men overestimate their abilities and performance while women underestimate both a hewlett packard report also suggests men apply for jobs when they meet 60 of the qualifications but women apply if they meet 100 apply for the jobs ladies 
1713,NeRojas213,Nicolás 🐝,2019-11-03 14:20:50,"Milano, Lombardia",None,30263,False,Twitter for iPhone,0,False,None,a cornell university study found that men overestimate their abilities and performance while women underestimate both a hewlett packard report also suggests men apply for jobs when they meet 60 of the qualifications but women apply if they meet 100 apply for the jobs ladies 
1714,amandagold__,Amanda Gold,2019-11-03 14:20:50,,None,30263,False,Twitter for iPhone,0,False,None,a cornell university study found that men overestimate their abilities and performance while women underestimate both a hewlett packard report also suggests men apply for jobs when they meet 60 of the qualifications but women apply if they meet 100 apply for the jobs ladies 
1715,loganrk7,Log,2019-11-03 14:20:49,"Virginia, USA",None,43,False,Twitter for iPhone,0,False,None,blessed to announce my commitment to play baseball at christopher newport university thank you to all who have helped me along the way gocaptains 
1716,IamDKai,ASK ME ABOUT FOREX,2019-11-03 14:20:48,,None,30263,False,Twitter for iPhone,0,False,None,a cornell university study found that men overestimate their abilities and performance while women underestimate both a hewlett packard report also suggests men apply for jobs when they meet 60 of the qualifications but women apply if they meet 100 apply for the jobs ladies 
